Type,Commodity,KGs,Value_of_Goods_Exported,Date
Fruits,Raspberries/blisses,445.8,734630.0,03/25/2015 12:00:00 AM
Fruits,Strawberry,523.2,103093.0,03/25/2015 12:00:00 AM
Fruits,Mango,714290.05,103856783.0,03/25/2015 12:00:00 AM
Fruits,Macadamia,87057.0,93389231.0,03/25/2015 12:00:00 AM
Vegetables,Pepper mint,1210.0,544151.0,03/25/2015 12:00:00 AM
Vegetables,Chillies dried,1121.0,160553.0,03/25/2015 12:00:00 AM
Vegetables,Basil,10627.44,5716473.0,03/25/2015 12:00:00 AM
Vegetables,Chillies,78575.02,24351976.0,03/25/2015 12:00:00 AM
Vegetables,Chives,1697.0,802781.0,03/25/2015 12:00:00 AM
Vegetables,Coriander/dhania,163.0,61983.0,03/25/2015 12:00:00 AM
Vegetables,Dill,509.0,189126.0,03/25/2015 12:00:00 AM
Vegetables,Leeks,18.0,9909.0,03/25/2015 12:00:00 AM
Vegetables,Onions,7524.11,1451355.0,03/25/2015 12:00:00 AM
Vegetables,Parsley,21.6,10885.0,03/25/2015 12:00:00 AM
Vegetables,Rosemary,184.23,83734.0,03/25/2015 12:00:00 AM
Vegetables,Thyme,841.15,329565.0,03/25/2015 12:00:00 AM
Vegetables,Aubergines,87241.0,19602525.0,03/25/2015 12:00:00 AM
Vegetables,Baby corn,6319.85,2160888.0,03/25/2015 12:00:00 AM
Vegetables,Fine beans,2112257.29,489059423.0,03/25/2015 12:00:00 AM
Vegetables,Beetroot,63.0,35474.0,03/25/2015 12:00:00 AM
Vegetables,Broccoli,57487.77,18638247.0,03/25/2015 12:00:00 AM
Vegetables,Carrots,437.4,167338.0,03/25/2015 12:00:00 AM
Vegetables,Courgettes/zucchine,4280.54,612038.0,03/25/2015 12:00:00 AM
Vegetables,Dudhi,809.0,262580.0,03/25/2015 12:00:00 AM
Vegetables,Garden peas,10528.97,5243084.0,03/25/2015 12:00:00 AM
Vegetables,Gunda,529.0,143591.0,03/25/2015 12:00:00 AM
Vegetables,Karella,4685.0,1566730.0,03/25/2015 12:00:00 AM
Vegetables,Matoke,102.0,25202.0,03/25/2015 12:00:00 AM
Vegetables,Mixed vegetables,2824292.4,717718712.0,03/25/2015 12:00:00 AM
Vegetables,Okra,2610.0,842697.0,03/25/2015 12:00:00 AM
Vegetables,Patra/arrow root leaves,2070.0,594442.0,03/25/2015 12:00:00 AM
Vegetables,Runner beans,24122.7,7166207.0,03/25/2015 12:00:00 AM
Vegetables,Serenade,566.0,340579.0,03/25/2015 12:00:00 AM
Vegetables,Snap peas,81955.69,47781444.0,03/25/2015 12:00:00 AM
Vegetables,Snow/mangetout,190727.46,60853618.0,03/25/2015 12:00:00 AM
Vegetables,Turnips,189.0,90247.0,03/25/2015 12:00:00 AM
Vegetables,Valore,60.0,20668.0,03/25/2015 12:00:00 AM
Vegetables,Bean processed,360840.0,48746191.0,03/25/2015 12:00:00 AM
Vegetables,Herbs,84357.82,43240589.0,03/25/2015 12:00:00 AM
Cut-flowers,Anthurium leaves,893.71,245605.0,04/25/2015 12:00:00 AM
